27.636358754,53.88550038,320
27.633515612,53.887870871,321
27.631627337,53.887256077,322
27.630103842,53.888656779,323
27.623183743,53.88588702,324
27.618012444,53.884004494,325
27.613141553,53.882153576,326
27.609643952,53.879174186,327
27.608978764,53.878907933,328
27.606564776,53.879408742,329
27.600889222,53.88093015,320 
27.593293206,53.883193143,321 
27.586941735,53.885069368,322 
27.582145945,53.886901141,323 
27.580000178,53.887630025,324 
27.579254978,53.889126619,325 
27.57822501,53.889861802,326
27.575306766,53.891471553,327 
27.571315639,53.893486823,328 
27.568129175,53.894513432,329 
27.565629356,53.895635069,320 
27.564416998,53.89640182,321 
27.561992281,53.898106366,322 
27.560576074,53.899297605,323 
27.558816545,53.900697901,324 
27.555951946,53.90301684,325
27.55369889,53.905132917,326 
27.551681869,53.907261556,327 
27.54909622,53.909732162,328 
27.546199434,53.912164615,329 
27.543989294,53.91306408,320 
27.539633386,53.914438576,321 
27.534912698,53.916782083,322 
27.527788751,53.922089321,323 
27.522188299,53.925470907,324 
27.515107267,53.928978853,325 
27.508026235,53.932093964,326 
27.497447603,53.935829258,327 
27.484851949,53.937513195,328 
27.477577798,53.938146237,329 
27.469338052,53.940804906,320 
27.472642534,53.944868543,321 
27.480002515,53.942767148,322 
27.480088346,53.941880986,323 
27.481912248,53.941032784,324 
27.480774992,53.938905874,325 
27.48493778,53.939311008,326 
27.489722841,53.939462932,327 
27.494958513,53.938513397,328 
27.497168653,53.940323826,329 
27.499936693,53.943374791,320
